"name","num","m1","m1time","lp1","lp1time","l1","l1time","l2","l2time","lc1","lc1time","lc2","lc2time","lc3","lc3time","m2","m2time","m3","m3time","rcmax","rcmaxtime"
"heskia",28,42.3758,0.0100889,170.379,7.79629e-05,169.503,4.91142e-05,169,0.00113702,162,5.00679e-06,105,4.05312e-06,1,4.76837e-06,175.608,0.00429392,185.41,0.00529385,169.503,0.000542879
"heskia",29,31.7102,0.00796986,127.742,6.38962e-05,126.841,4.22001e-05,127,0.000662804,114,3.8147e-06,108,4.05312e-06,1,3.8147e-06,133.875,0.00392699,145.762,0.00514412,126.841,0.000448942
"heskia",30,35.8312,0.00443411,144.953,4.60148e-05,143.12,2.40803e-05,146,0.000601053,140,5.00679e-06,108,3.09944e-06,1,4.05312e-06,144.483,0.00202084,150.641,0.00370693,143.325,0.000379086
"heskia",31,41.5519,0.00785017,173.978,5.91278e-05,166.208,2.5034e-05,175,0.000821829,162,4.05312e-06,113,3.8147e-06,1,4.05312e-06,180.189,0.00290513,194.051,0.00549793,166.208,0.000408888
"heskia",32,30.1547,0.010041,121.554,4.1008e-05,120.619,2.19345e-05,122,0.00059104,119,5.00679e-06,94,4.05312e-06,1,4.05312e-06,128.395,0.00258303,133.103,0.002877,120.619,0.000324965
"heskia",33,46.513,0.00945497,186.685,6.10352e-05,186.052,3.00407e-05,183,0.000781059,175,5.00679e-06,126,4.05312e-06,1,4.05312e-06,194.057,0.00234294,197.125,0.00336909,186.052,0.000374079
"heskia",34,28.0906,0.00577307,113.229,8.2016e-05,112.363,6.00815e-05,112,0.0129139,108,9.05991e-06,108,4.05312e-06,1,5.00679e-06,115.026,0.00422716,122.621,0.00972414,112.363,0.000727892
"heskia",35,32.4278,0.00582504,130.244,5.19753e-05,129.674,2.7895e-05,131,0.000749111,124,5.96046e-06,108,4.05312e-06,1,4.05312e-06,144.142,0.00241399,161.279,0.00463295,129.711,0.000359058
"heskia",36,37.902,0.00851917,153.793,7.79629e-05,151.608,3.91006e-05,151,0.00111294,151,1.00136e-05,107,5.00679e-06,1,5.00679e-06,159.775,0.0043819,170.694,0.016036,151.608,0.000707865
"heskia",37,42.2005,0.00502801,169.574,9.29832e-05,168.802,5.19753e-05,164,0.00114298,152,7.86781e-06,112,5.00679e-06,1,5.00679e-06,173.465,0.00394511,175.953,0.00498819,168.802,0.000643969
